[CityServiceResult{result=48029, methodName='getPopulationOfCountry', inputQuery='Seychelles', clientZone=1, turnaroundTime=175, executionTime=7, waitingTime=88, serverZone=1}]
[CityServiceResult{result=189578, methodName='getPopulationOfCountry', inputQuery='French Guiana', clientZone=4, turnaroundTime=177, executionTime=10, waitingTime=86, serverZone=4}]
[CityServiceResult{result=447039, methodName='getPopulationOfCountry', inputQuery='Equatorial Guinea', clientZone=2, turnaroundTime=173, executionTime=3, waitingTime=90, serverZone=2}]
[CityServiceResult{result=1070, methodName='getPopulationOfCountry', inputQuery='Tokelau', clientZone=4, turnaroundTime=203, executionTime=2, waitingTime=121, serverZone=4}]
[CityServiceResult{result=31731367, methodName='getPopulationOfCountry', inputQuery='Canada', clientZone=1, turnaroundTime=251, executionTime=2, waitingTime=169, serverZone=1}]
[CityServiceResult{result=447039, methodName='getPopulationOfCountry', inputQuery='Equatorial Guinea', clientZone=2, turnaroundTime=245, executionTime=1, waitingTime=164, serverZone=2}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=3, turnaroundTime=174, executionTime=4, waitingTime=90, serverZone=3}]
[CityServiceResult{result=30376, methodName='getPopulationOfCountry', inputQuery='Palau', clientZone=4, turnaroundTime=243, executionTime=3, waitingTime=160, serverZone=4}]
[CityServiceResult{result=276340, methodName='getPopulationOfCountry', inputQuery='Swaziland', clientZone=1, turnaroundTime=285, executionTime=2, waitingTime=203, serverZone=1}]
[CityServiceResult{result=7571439, methodName='getPopulationOfCountry', inputQuery='Kenya', clientZone=2, turnaroundTime=235, executionTime=3, waitingTime=152, serverZone=2}]
[CityServiceResult{result=3645095, methodName='getPopulationOfCountry', inputQuery='Uganda', clientZone=4, turnaroundTime=317, executionTime=3, waitingTime=234, serverZone=4}]
[CityServiceResult{result=276340, methodName='getPopulationOfCountry', inputQuery='Swaziland', clientZone=1, turnaroundTime=360, executionTime=3, waitingTime=277, serverZone=1}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=2, turnaroundTime=195, executionTime=2, waitingTime=113, serverZone=2}]
[CityServiceResult{result=134594036, methodName='getPopulationOfCountry', inputQuery='Brazil', clientZone=3, turnaroundTime=172, executionTime=3, waitingTime=89, serverZone=3}]
[CityServiceResult{result=3645095, methodName='getPopulationOfCountry', inputQuery='Uganda', clientZone=4, turnaroundTime=392, executionTime=3, waitingTime=309, serverZone=4}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=5, turnaroundTime=171, executionTime=5, waitingTime=86, serverZone=5}]
[CityServiceResult{result=276340, methodName='getPopulationOfCountry', inputQuery='Swaziland', clientZone=1, turnaroundTime=436, executionTime=3, waitingTime=353, serverZone=1}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=2, turnaroundTime=272, executionTime=4, waitingTime=188, serverZone=2}]
[CityServiceResult{result=1907246, methodName='getPopulationOfCountry', inputQuery='Tajikistan', clientZone=3, turnaroundTime=224, executionTime=4, waitingTime=140, serverZone=3}]
[CityServiceResult{result=1680347, methodName='getPopulationOfCountry', inputQuery='Chad', clientZone=4, turnaroundTime=452, executionTime=4, waitingTime=368, serverZone=4}]
[CityServiceResult{result=21079844, methodName='getPopulationOfCountry', inputQuery='Peru', clientZone=5, turnaroundTime=250, executionTime=4, waitingTime=166, serverZone=5}]
[CityServiceResult{result=233433, methodName='getPopulationOfCountry', inputQuery='Bhutan', clientZone=1, turnaroundTime=364, executionTime=4, waitingTime=280, serverZone=1}]
[CityServiceResult{result=3328228, methodName='getPopulationOfCountry', inputQuery='Honduras', clientZone=2, turnaroundTime=336, executionTime=3, waitingTime=253, serverZone=2}]
[CityServiceResult{result=374575, methodName='getPopulationOfCountry', inputQuery='Guadeloupe', clientZone=3, turnaroundTime=198, executionTime=6, waitingTime=112, serverZone=3}]
[CityServiceResult{result=32847337, methodName='getPopulationOfCountry', inputQuery='Ukraine', clientZone=4, turnaroundTime=512, executionTime=5, waitingTime=427, serverZone=4}]
[CityServiceResult{result=1565638, methodName='getPopulationOfCountry', inputQuery='Togo', clientZone=5, turnaroundTime=302, executionTime=5, waitingTime=217, serverZone=5}]
[CityServiceResult{result=3328228, methodName='getPopulationOfCountry', inputQuery='Honduras', clientZone=2, turnaroundTime=412, executionTime=4, waitingTime=328, serverZone=2}]
[CityServiceResult{result=1907246, methodName='getPopulationOfCountry', inputQuery='Tajikistan', clientZone=1, turnaroundTime=172, executionTime=2, waitingTime=90, serverZone=1}]
[CityServiceResult{result=100848918, methodName='getPopulationOfCountry', inputQuery='Japan', clientZone=3, turnaroundTime=253, executionTime=4, waitingTime=169, serverZone=3}]
[CityServiceResult{result=32847337, methodName='getPopulationOfCountry', inputQuery='Ukraine', clientZone=4, turnaroundTime=588, executionTime=6, waitingTime=502, serverZone=4}]
[CityServiceResult{result=374575, methodName='getPopulationOfCountry', inputQuery='Guadeloupe', clientZone=5, turnaroundTime=316, executionTime=3, waitingTime=233, serverZone=5}]
[CityServiceResult{result=3328228, methodName='getPopulationOfCountry', inputQuery='Honduras', clientZone=2, turnaroundTime=488, executionTime=2, waitingTime=406, serverZone=2}]
[CityServiceResult{result=6340891, methodName='getPopulationOfCountry', inputQuery='Guatemala', clientZone=3, turnaroundTime=327, executionTime=2, waitingTime=245, serverZone=3}]
