Timestamp: 1727792096490, Queue size: 0
Timestamp: 1727792101140, Queue size: 1
Timestamp: 1727792101192, Queue size: 2
Timestamp: 1727792101387, Queue size: 3
Timestamp: 1727792101439, Queue size: 4
Timestamp: 1727792101450, Queue size: 5
Timestamp: 1727792101466, Queue size: 6
Timestamp: 1727792101480, Queue size: 7
Timestamp: 1727792101574, Queue size: 8
Timestamp: 1727792101583, Queue size: 9
Timestamp: 1727792101847, Queue size: 6
Timestamp: 1727792101857, Queue size: 7
Timestamp: 1727792101872, Queue size: 8
Timestamp: 1727792102218, Queue size: 5
Timestamp: 1727792102330, Queue size: 6
Timestamp: 1727792102477, Queue size: 7
Timestamp: 1727792102506, Queue size: 8
Timestamp: 1727792102519, Queue size: 9
Timestamp: 1727792102527, Queue size: 10
Timestamp: 1727792102567, Queue size: 11
Timestamp: 1727792102581, Queue size: 12
Timestamp: 1727792102633, Queue size: 13
Timestamp: 1727792102700, Queue size: 14
Timestamp: 1727792102708, Queue size: 15
Timestamp: 1727792102715, Queue size: 16
Timestamp: 1727792102716, Queue size: 17
Timestamp: 1727792102736, Queue size: 18
Timestamp: 1727792102744, Queue size: 19
Timestamp: 1727792102750, Queue size: 20
Timestamp: 1727792102758, Queue size: 21
Timestamp: 1727792102812, Queue size: 22
Timestamp: 1727792103236, Queue size: 18
Timestamp: 1727792103322, Queue size: 19
Timestamp: 1727792103336, Queue size: 20
Timestamp: 1727792103690, Queue size: 18
Timestamp: 1727792103767, Queue size: 19
Timestamp: 1727792103781, Queue size: 20
Timestamp: 1727792104027, Queue size: 18
Timestamp: 1727792104029, Queue size: 19
Timestamp: 1727792104216, Queue size: 18
Timestamp: 1727792104283, Queue size: 19
Timestamp: 1727792104306, Queue size: 21
Timestamp: 1727792104306, Queue size: 20
Timestamp: 1727792104308, Queue size: 22
Timestamp: 1727792104551, Queue size: 21
Timestamp: 1727792104634, Queue size: 22
Timestamp: 1727792104634, Queue size: 23
Timestamp: 1727792104651, Queue size: 24
Timestamp: 1727792104726, Queue size: 25
Timestamp: 1727792104741, Queue size: 26
Timestamp: 1727792105355, Queue size: 20
Timestamp: 1727792105542, Queue size: 18
Timestamp: 1727792105600, Queue size: 19
Timestamp: 1727792105716, Queue size: 18
Timestamp: 1727792105722, Queue size: 19
Timestamp: 1727792105777, Queue size: 20
Timestamp: 1727792105781, Queue size: 21
Timestamp: 1727792105799, Queue size: 22
Timestamp: 1727792105801, Queue size: 23
Timestamp: 1727792105867, Queue size: 24
Timestamp: 1727792106042, Queue size: 23
Timestamp: 1727792106220, Queue size: 24
Timestamp: 1727792106502, Queue size: 22
Timestamp: 1727792106676, Queue size: 21
Timestamp: 1727792106749, Queue size: 22
Timestamp: 1727792106758, Queue size: 23
Timestamp: 1727792106765, Queue size: 24
Timestamp: 1727792107024, Queue size: 22
Timestamp: 1727792107088, Queue size: 23
Timestamp: 1727792107190, Queue size: 24
Timestamp: 1727792107351, Queue size: 23
Timestamp: 1727792107360, Queue size: 24
Timestamp: 1727792107363, Queue size: 25
Timestamp: 1727792107712, Queue size: 24
Timestamp: 1727792107713, Queue size: 25
Timestamp: 1727792107979, Queue size: 26
Timestamp: 1727792107981, Queue size: 27
Timestamp: 1727792108149, Queue size: 26
Timestamp: 1727792108149, Queue size: 27
Timestamp: 1727792108153, Queue size: 28
Timestamp: 1727792108238, Queue size: 29
Timestamp: 1727792108240, Queue size: 30
Timestamp: 1727792108321, Queue size: 31
Timestamp: 1727792108763, Queue size: 29
Timestamp: 1727792108763, Queue size: 28
Timestamp: 1727792108767, Queue size: 30
Timestamp: 1727792109380, Queue size: 24
Timestamp: 1727792109383, Queue size: 25
Timestamp: 1727792109383, Queue size: 26
Timestamp: 1727792109568, Queue size: 25
Timestamp: 1727792109655, Queue size: 26
Timestamp: 1727792109656, Queue size: 27
Timestamp: 1727792109833, Queue size: 28
Timestamp: 1727792109840, Queue size: 29
Timestamp: 1727792110108, Queue size: 27
Timestamp: 1727792110113, Queue size: 28
Timestamp: 1727792110293, Queue size: 29
Timestamp: 1727792110384, Queue size: 28
Timestamp: 1727792110472, Queue size: 29
Timestamp: 1727792110735, Queue size: 27
Timestamp: 1727792110736, Queue size: 28
Timestamp: 1727792110822, Queue size: 30
Timestamp: 1727792110822, Queue size: 29
Timestamp: 1727792110822, Queue size: 31
Timestamp: 1727792110824, Queue size: 32
Timestamp: 1727792111348, Queue size: 27
Timestamp: 1727792111529, Queue size: 26
Timestamp: 1727792111530, Queue size: 27
Timestamp: 1727792111966, Queue size: 24
Timestamp: 1727792112321, Queue size: 25
Timestamp: 1727792112321, Queue size: 26
Timestamp: 1727792112671, Queue size: 23
Timestamp: 1727792113027, Queue size: 21
Timestamp: 1727792113123, Queue size: 22
Timestamp: 1727792113298, Queue size: 21
Timestamp: 1727792113384, Queue size: 22
Timestamp: 1727792113473, Queue size: 23
Timestamp: 1727792113655, Queue size: 21
Timestamp: 1727792114000, Queue size: 22
Timestamp: 1727792114361, Queue size: 19
Timestamp: 1727792114364, Queue size: 20
Timestamp: 1727792114450, Queue size: 21
Timestamp: 1727792114452, Queue size: 22
Timestamp: 1727792114454, Queue size: 23
Timestamp: 1727792114901, Queue size: 21
Timestamp: 1727792114991, Queue size: 22
Timestamp: 1727792115079, Queue size: 23
Timestamp: 1727792116211, Queue size: 11
Timestamp: 1727792116294, Queue size: 12
Timestamp: 1727792116659, Queue size: 13
Timestamp: 1727792116660, Queue size: 14
Timestamp: 1727792116916, Queue size: 15
Timestamp: 1727792117176, Queue size: 14
Timestamp: 1727792117264, Queue size: 15
